entry,at,order
"""Haug @ DeebGJIyUA"" shows a 2♦, 8♦.",2020-12-29T19:08:11.286Z,160926889128700
"""Ælx @ -CDDo4UviF"" shows a 9♠, 6♠.",2020-12-29T01:29:21.333Z,160920536133600
"-- ending hand #176 --",2020-12-29T01:29:17.873Z,160920535787402
"""Ælx @ -CDDo4UviF"" collected 4 from pot",2020-12-29T01:29:17.873Z,160920535787401
"Uncalled bet of 2 returned to ""Ælx @ -CDDo4UviF""",2020-12-29T01:29:17.873Z,160920535787400
"""Haug @ DeebGJIyUA"" folds",2020-12-29T01:29:17.065Z,160920535706600
"""Ælx @ -CDDo4UviF"" bets 2",2020-12-29T01:28:20.290Z,160920530029000
"""Haug @ DeebGJIyUA"" checks",2020-12-29T01:28:12.848Z,160920529284900
"Flop:  [7♠, 2♣, A♠]",2020-12-29T01:28:05.209Z,160920528521100
"""Ælx @ -CDDo4UviF"" checks",2020-12-29T01:28:04.402Z,160920528440300
"""Haug @ DeebGJIyUA"" calls 2",2020-12-29T01:28:03.435Z,160920528343600
"""Draddla @ fXKGmus_7y"" folds",2020-12-29T01:27:56.669Z,160920527667000
"""Ælx @ -CDDo4UviF"" posts a big blind of 2",2020-12-29T01:27:51.030Z,160920527103106
"""Haug @ DeebGJIyUA"" posts a small blind of 1",2020-12-29T01:27:51.030Z,160920527103105
"Your hand is 2♦, 8♦",2020-12-29T01:27:51.030Z,160920527103103
"Player stacks: #1 ""Draddla @ fXKGmus_7y"" (839) | #4 ""Haug @ DeebGJIyUA"" (1211) | #7 ""Ælx @ -CDDo4UviF"" (650)",2020-12-29T01:27:51.030Z,160920527103101
"-- starting hand #176  (No Limit Texas Hold'em) (dealer: ""Draddla @ fXKGmus_7y"") --",2020-12-29T01:27:51.030Z,160920527103100
"-- ending hand #175 --",2020-12-29T01:27:45.004Z,160920526500603
"""Draddla @ fXKGmus_7y"" shows a J♠, 8♥.",2020-12-29T01:27:45.004Z,160920526500602
"""Ælx @ -CDDo4UviF"" collected 12 from pot with Pair, Q's (combination: Q♣, Q♦, J♥, 8♣, 7♦)",2020-12-29T01:27:45.004Z,160920526500601
"""Ælx @ -CDDo4UviF"" shows a Q♣, J♥.",2020-12-29T01:27:45.004Z,160920526500600
"""Ælx @ -CDDo4UviF"" checks",2020-12-29T01:27:44.198Z,160920526419800
"""Draddla @ fXKGmus_7y"" checks",2020-12-29T01:27:41.709Z,160920526170900
"River: 5♥, 6♣, 7♦, Q♦ [8♣]",2020-12-29T01:27:39.471Z,160920525947300
"""Ælx @ -CDDo4UviF"" checks",2020-12-29T01:27:38.666Z,160920525866700
"""Draddla @ fXKGmus_7y"" checks",2020-12-29T01:27:36.682Z,160920525668400
"Turn: 5♥, 6♣, 7♦ [Q♦]",2020-12-29T01:27:32.762Z,160920525276300
"""Ælx @ -CDDo4UviF"" calls 3",2020-12-29T01:27:31.951Z,160920525195200
"""Draddla @ fXKGmus_7y"" bets 3",2020-12-29T01:27:28.493Z,160920524849400
