entry,at,order
"The player ""Haugboi @ DeebGJIyUA"" passed the room ownership to ""simma @ pw9LlISK86"".",2021-03-14T02:12:22.826Z,161568794282800
"The player ""Ælx @ 9kFnp-OIbk"" quits the game with a stack of 463.",2021-03-14T01:51:53.933Z,161568671394300
"The player ""Ælx @ 9kFnp-OIbk"" stand up with the stack of 463.",2021-03-14T01:51:48.707Z,161568670870900
"The player ""Nilds @ E5CeFlzHZ0"" stand up with the stack of 758.",2021-03-14T01:50:41.275Z,161568664127600
"-- ending hand #422 --",2021-03-14T01:50:35.334Z,161568663533602
"""Ælx @ 9kFnp-OIbk"" collected 30 from pot",2021-03-14T01:50:35.334Z,161568663533601
"Uncalled bet of 22 returned to ""Ælx @ 9kFnp-OIbk""",2021-03-14T01:50:35.334Z,161568663533600
"""Nilds @ E5CeFlzHZ0"" folds",2021-03-14T01:50:34.525Z,161568663452600
"""Ælx @ 9kFnp-OIbk"" bets 22",2021-03-14T01:50:26.910Z,161568662691100
"Flop:  [2♣, 7♣, 10♦]",2021-03-14T01:50:23.283Z,161568662328400
"""Nilds @ E5CeFlzHZ0"" calls 15",2021-03-14T01:50:22.468Z,161568662247000
"""Ælx @ 9kFnp-OIbk"" raises to 15",2021-03-14T01:50:19.728Z,161568661972900
"""Nilds @ E5CeFlzHZ0"" raises to 6",2021-03-14T01:50:17.035Z,161568661703700
"""Ælx @ 9kFnp-OIbk"" posts a big blind of 2",2021-03-14T01:50:13.601Z,161568661360205
"""Nilds @ E5CeFlzHZ0"" posts a small blind of 1",2021-03-14T01:50:13.601Z,161568661360204
"Player stacks: #5 ""Ælx @ 9kFnp-OIbk"" (448) | #6 ""Nilds @ E5CeFlzHZ0"" (773)",2021-03-14T01:50:13.601Z,161568661360201
"-- starting hand #422  (No Limit Texas Hold'em) (dealer: ""Nilds @ E5CeFlzHZ0"") --",2021-03-14T01:50:13.601Z,161568661360200
"-- ending hand #421 --",2021-03-14T01:50:07.566Z,161568660756802
"""Ælx @ 9kFnp-OIbk"" collected 18 from pot with Two Pair, 8's & 7's (combination: 8♥, 8♦, 7♥, 7♣, 9♦)",2021-03-14T01:50:07.566Z,161568660756801
"""Ælx @ 9kFnp-OIbk"" shows a 7♥, 7♣.",2021-03-14T01:50:07.566Z,161568660756800
"""Ælx @ 9kFnp-OIbk"" checks",2021-03-14T01:50:06.755Z,161568660675600
"""Nilds @ E5CeFlzHZ0"" checks",2021-03-14T01:50:04.724Z,161568660472500
"River: 9♦, 8♥, 8♦, 3♦ [5♥]",2021-03-14T01:50:02.833Z,161568660283500
"""Ælx @ 9kFnp-OIbk"" calls 4",2021-03-14T01:50:02.024Z,161568660202600
"""Nilds @ E5CeFlzHZ0"" bets 4",2021-03-14T01:50:00.713Z,161568660071300
"Turn: 9♦, 8♥, 8♦ [3♦]",2021-03-14T01:49:57.261Z,161568659726200
"""Ælx @ 9kFnp-OIbk"" checks",2021-03-14T01:49:56.453Z,161568659645400
"""Nilds @ E5CeFlzHZ0"" checks",2021-03-14T01:49:55.445Z,161568659544600
"Flop:  [9♦, 8♥, 8♦]",2021-03-14T01:49:53.360Z,161568659336100
"""Nilds @ E5CeFlzHZ0"" calls 5",2021-03-14T01:49:52.549Z,161568659255000
"""Ælx @ 9kFnp-OIbk"" raises to 5",2021-03-14T01:49:50.377Z,161568659037800
"""Nilds @ E5CeFlzHZ0"" posts a big blind of 2",2021-03-14T01:49:47.972Z,161568658797305
"""Ælx @ 9kFnp-OIbk"" posts a small blind of 1",2021-03-14T01:49:47.972Z,161568658797304
"Player stacks: #5 ""Ælx @ 9kFnp-OIbk"" (439) | #6 ""Nilds @ E5CeFlzHZ0"" (782)",2021-03-14T01:49:47.972Z,161568658797301
"-- starting hand #421  (No Limit Texas Hold'em) (dealer: ""Ælx @ 9kFnp-OIbk"") --",2021-03-14T01:49:47.972Z,161568658797300
"-- ending hand #420 --",2021-03-14T01:49:45.035Z,161568658503502
"""Nilds @ E5CeFlzHZ0"" collected 24 from pot",2021-03-14T01:49:45.035Z,161568658503501
"Uncalled bet of 7 returned to ""Nilds @ E5CeFlzHZ0""",2021-03-14T01:49:45.035Z,161568658503500
"""Ælx @ 9kFnp-OIbk"" folds",2021-03-14T01:49:44.226Z,161568658422700
"""Nilds @ E5CeFlzHZ0"" raises to 14",2021-03-14T01:49:42.424Z,161568658242500
"""Ælx @ 9kFnp-OIbk"" bets 7",2021-03-14T01:49:39.109Z,161568657911100
"River: 2♣, 2♦, 3♠, 8♦ [4♦]",2021-03-14T01:49:33.765Z,161568657376900
"""Ælx @ 9kFnp-OIbk"" calls 3",2021-03-14T01:49:32.953Z,161568657295400
"""Nilds @ E5CeFlzHZ0"" bets 3",2021-03-14T01:49:30.820Z,161568657082100
"""Ælx @ 9kFnp-OIbk"" checks",2021-03-14T01:49:26.752Z,161568656675300
"Turn: 2♣, 2♦, 3♠ [8♦]",2021-03-14T01:49:25.370Z,161568656537200
"""Nilds @ E5CeFlzHZ0"" checks",2021-03-14T01:49:24.560Z,161568656456100
"""Ælx @ 9kFnp-OIbk"" checks",2021-03-14T01:49:21.905Z,161568656190600
"Flop:  [2♣, 2♦, 3♠]",2021-03-14T01:49:18.487Z,161568655848800
"""Ælx @ 9kFnp-OIbk"" checks",2021-03-14T01:49:17.677Z,161568655767800
"""Nilds @ E5CeFlzHZ0"" calls 2",2021-03-14T01:49:15.533Z,161568655553400
"""Ælx @ 9kFnp-OIbk"" posts a big blind of 2",2021-03-14T01:49:12.609Z,161568655261005
"""Nilds @ E5CeFlzHZ0"" posts a small blind of 1",2021-03-14T01:49:12.609Z,161568655261004
"Player stacks: #5 ""Ælx @ 9kFnp-OIbk"" (451) | #6 ""Nilds @ E5CeFlzHZ0"" (770)",2021-03-14T01:49:12.609Z,161568655261001
