entry,at,order
"The player ""Haugboi @ DeebGJIyUA"" quits the game with a stack of 1641.",2021-03-13T02:53:46.399Z,161560402640602
"The player ""Haugboi @ DeebGJIyUA"" stand up with the stack of 1641.",2021-03-13T02:53:46.399Z,161560402640601
"The player ""Staten @ 3SrksDfXai"" stand up with the stack of 2462.",2021-03-13T02:53:46.399Z,161560402640600
"-- ending hand #394 --",2021-03-13T02:53:43.484Z,161560402348602
"""simma @ 30if7KNn9A"" collected 8 from pot",2021-03-13T02:53:43.484Z,161560402348601
"Uncalled bet of 4 returned to ""simma @ 30if7KNn9A""",2021-03-13T02:53:43.484Z,161560402348600
"""Staten @ 3SrksDfXai"" folds",2021-03-13T02:53:42.670Z,161560402267100
"""simma @ 30if7KNn9A"" bets 4",2021-03-13T02:53:40.369Z,161560402037000
"Turn: 10♥, 3♥, 8♦ [7♦]",2021-03-13T02:53:35.588Z,161560401559000
"""Staten @ 3SrksDfXai"" calls 2",2021-03-13T02:53:34.776Z,161560401477800
"""simma @ 30if7KNn9A"" bets 2",2021-03-13T02:53:31.965Z,161560401196600
"Flop:  [10♥, 3♥, 8♦]",2021-03-13T02:53:27.490Z,161560400749100
"""Staten @ 3SrksDfXai"" checks",2021-03-13T02:53:26.628Z,161560400663000
"""simma @ 30if7KNn9A"" calls 2",2021-03-13T02:53:22.155Z,161560400215600
"""Haugboi @ DeebGJIyUA"" folds",2021-03-13T02:53:19.506Z,161560399950700
"""Staten @ 3SrksDfXai"" posts a big blind of 2",2021-03-13T02:53:14.845Z,161560399484806
"""simma @ 30if7KNn9A"" posts a small blind of 1",2021-03-13T02:53:14.845Z,161560399484805
"Your hand is 3♦, 7♥",2021-03-13T02:53:14.845Z,161560399484803
"Player stacks: #1 ""Staten @ 3SrksDfXai"" (2466) | #5 ""Haugboi @ DeebGJIyUA"" (1641) | #10 ""simma @ 30if7KNn9A"" (1577)",2021-03-13T02:53:14.845Z,161560399484801
"-- starting hand #394  (No Limit Texas Hold'em) (dealer: ""Haugboi @ DeebGJIyUA"") --",2021-03-13T02:53:14.845Z,161560399484800
"""Staten @ 3SrksDfXai"" shows a K♥, K♦.",2021-03-13T02:53:09.449Z,161560398945100
"-- ending hand #393 --",2021-03-13T02:53:08.236Z,161560398823702
"""Staten @ 3SrksDfXai"" collected 21 from pot",2021-03-13T02:53:08.236Z,161560398823701
"Uncalled bet of 15 returned to ""Staten @ 3SrksDfXai""",2021-03-13T02:53:08.236Z,161560398823700
"""simma @ 30if7KNn9A"" folds",2021-03-13T02:53:07.412Z,161560398741400
"""Staten @ 3SrksDfXai"" bets 15",2021-03-13T02:53:05.353Z,161560398535500
"""simma @ 30if7KNn9A"" checks",2021-03-13T02:52:59.413Z,161560397941400
"Turn: 7♠, Q♣, 6♠ [7♥]",2021-03-13T02:52:57.678Z,161560397768000
"""simma @ 30if7KNn9A"" calls 5",2021-03-13T02:52:56.870Z,161560397687200
"""Staten @ 3SrksDfXai"" bets 5",2021-03-13T02:52:54.338Z,161560397433900
"""simma @ 30if7KNn9A"" checks",2021-03-13T02:52:49.257Z,161560396925700
"Flop:  [7♠, Q♣, 6♠]",2021-03-13T02:52:47.149Z,161560396715100
"""simma @ 30if7KNn9A"" calls 5",2021-03-13T02:52:46.341Z,161560396634200
"""Haugboi @ DeebGJIyUA"" folds",2021-03-13T02:52:44.601Z,161560396460200
"""Staten @ 3SrksDfXai"" raises to 5",2021-03-13T02:52:35.121Z,161560395512200
"""simma @ 30if7KNn9A"" posts a big blind of 2",2021-03-13T02:52:27.109Z,161560394711708
"""Haugboi @ DeebGJIyUA"" posts a small blind of 1",2021-03-13T02:52:27.109Z,161560394711707
"Your hand is J♦, 7♦",2021-03-13T02:52:27.109Z,161560394711705
"Player stacks: #1 ""Staten @ 3SrksDfXai"" (2455) | #5 ""Haugboi @ DeebGJIyUA"" (1642) | #10 ""simma @ 30if7KNn9A"" (1587)",2021-03-13T02:52:27.109Z,161560394711703
"-- starting hand #393  (No Limit Texas Hold'em) (dealer: ""Staten @ 3SrksDfXai"") --",2021-03-13T02:52:27.109Z,161560394711702
"The player ""Runar @ KWSZKF6EUy"" quits the game with a stack of 1202.",2021-03-13T02:52:27.109Z,161560394711701
"The player ""Stig @ wNb2m3SlGA"" quits the game with a stack of 0.",2021-03-13T02:52:27.109Z,161560394711700
"-- ending hand #392 --",2021-03-13T02:52:21.098Z,161560394110103
"""Stig @ wNb2m3SlGA"" shows a J♠, Q♥.",2021-03-13T02:52:21.098Z,161560394110102
"""simma @ 30if7KNn9A"" collected 954 from pot with Pair, 9's (combination: 9♦, 9♠, K♠, 8♣, 7♠)",2021-03-13T02:52:21.098Z,161560394110101
"""simma @ 30if7KNn9A"" shows a K♠, 9♦.",2021-03-13T02:52:21.098Z,161560394110100
"""simma @ 30if7KNn9A"" calls 295",2021-03-13T02:52:20.291Z,161560394029100
"""Stig @ wNb2m3SlGA"" bets 295 and go all in",2021-03-13T02:51:50.256Z,161560391025700
"River: 9♠, 7♠, 5♠, 3♣ [8♣]",2021-03-13T02:51:43.720Z,161560390372300
"""Stig @ wNb2m3SlGA"" calls 99",2021-03-13T02:51:42.907Z,161560390290800
"""simma @ 30if7KNn9A"" bets 99",2021-03-13T02:51:41.082Z,161560390108300
"""Stig @ wNb2m3SlGA"" checks",2021-03-13T02:51:37.351Z,161560389735200
"Turn: 9♠, 7♠, 5♠ [3♣]",2021-03-13T02:51:35.306Z,161560389530900
"""Runar @ KWSZKF6EUy"" folds",2021-03-13T02:51:34.498Z,161560389450000
"""Stig @ wNb2m3SlGA"" calls 44",2021-03-13T02:51:29.958Z,161560388995900
"""simma @ 30if7KNn9A"" bets 44",2021-03-13T02:51:27.144Z,161560388714500
"""Runar @ KWSZKF6EUy"" checks",2021-03-13T02:51:24.278Z,161560388427900
"""Stig @ wNb2m3SlGA"" checks",2021-03-13T02:51:23.059Z,161560388306000
"Flop:  [9♠, 7♠, 5♠]",2021-03-13T02:51:20.506Z,161560388050800
"""Runar @ KWSZKF6EUy"" calls 25",2021-03-13T02:51:19.695Z,161560387969700
"""Stig @ wNb2m3SlGA"" calls 25",2021-03-13T02:51:15.420Z,161560387542100
"""Haugboi @ DeebGJIyUA"" folds",2021-03-13T02:51:13.778Z,161560387377900
"""Staten @ 3SrksDfXai"" folds",2021-03-13T02:51:12.814Z,161560387281500
"""simma @ 30if7KNn9A"" raises to 25",2021-03-13T02:51:06.976Z,161560386697700
"""Runar @ KWSZKF6EUy"" calls 6",2021-03-13T02:50:54.804Z,161560385480500
"""Stig @ wNb2m3SlGA"" raises to 6",2021-03-13T02:50:53.092Z,161560385309200
"""Haugboi @ DeebGJIyUA"" posts a big blind of 2",2021-03-13T02:50:48.067Z,161560384806808
"""Staten @ 3SrksDfXai"" posts a small blind of 1",2021-03-13T02:50:48.067Z,161560384806807
"Your hand is 4♦, 10♣",2021-03-13T02:50:48.067Z,161560384806803
"Player stacks: #1 ""Staten @ 3SrksDfXai"" (2456) | #5 ""Haugboi @ DeebGJIyUA"" (1644) | #7 ""Stig @ wNb2m3SlGA"" (463) | #9 ""Runar @ KWSZKF6EUy"" (1227) | #10 ""simma @ 30if7KNn9A"" (1096)",2021-03-13T02:50:48.067Z,161560384806801
"-- starting hand #392  (No Limit Texas Hold'em) (dealer: ""simma @ 30if7KNn9A"") --",2021-03-13T02:50:48.067Z,161560384806800
"-- ending hand #391 --",2021-03-13T02:50:42.019Z,161560384202603
"""Stig @ wNb2m3SlGA"" shows a K♥, A♠.",2021-03-13T02:50:42.019Z,161560384202602
"""Staten @ 3SrksDfXai"" collected 758 from pot with Full House, 6's over 7's (combination: 6♣, 6♠, 6♦, 7♠, 7♣)",2021-03-13T02:50:42.019Z,161560384202601
"""Staten @ 3SrksDfXai"" shows a 8♠, 6♣.",2021-03-13T02:50:42.019Z,161560384202600
